Order_ID,Order_Date,Ship_Date,Customer_ID,Segment,Region,State,Category,Sub_Category,Sales,Quantity,Discount,Profit
CA-1000,2023-04-13,2023-04-17,CG-9322,Consumer,South,New York,Furniture,Chairs,318.43,3,0.03,66.16
CA-1001,2023-05-30,2023-06-04,CG-7396,Corporate,Central,Florida,Office Supplies,Art,10.38,5,0.19,1.02
CA-1002,2023-08-24,2023-09-02,CG-2528,Consumer,South,New York,Technology,Machines,284.0,3,0.11,79.59
CA-1003,2023-05-11,2023-05-16,CG-8513,Home Office,South,Illinois,Furniture,Bookcases,118.57,9,0.29,6.26
CA-1004,2023-02-22,2023-02-24,CG-4073,Home Office,Central,Georgia,Furniture,Furnishings,148.14,1,0.08,32.76
CA-1005,2023-02-23,2023-02-27,CG-8629,Corporate,West,Georgia,Office Supplies,Art,230.38,4,0.18,45.43
CA-1006,2023-08-03,2023-08-12,CG-9571,Corporate,Central,Illinois,Furniture,Tables,855.57,8,0.11,66.1
CA-1007,2023-02-10,2023-02-11,CG-6892,Consumer,South,California,Furniture,Furnishings,510.88,3,0.21,54.48
CA-1008,2023-08-19,2023-08-28,CG-3731,Home Office,West,Michigan,Office Supplies,Storage,41.14,7,0.2,4.08
CA-1009,2023-12-26,2024-01-01,CG-7910,Home Office,South,California,Technology,Phones,1949.08,3,0.23,78.25
CA-1010,2023-12-25,2024-01-03,CG-7019,Home Office,South,Texas,Office Supplies,Supplies,62.87,7,0.14,7.94
CA-1011,2023-08-10,2023-08-15,CG-3693,Home Office,South,Illinois,Technology,Accessories,565.51,7,0.09,34.75
CA-1012,2023-10-11,2023-10-15,CG-2306,Corporate,East,New York,Office Supplies,Labels,449.08,7,0.27,-40.6
CA-1013,2023-05-01,2023-05-05,CG-1663,Consumer,West,New York,Technology,Machines,1119.35,9,0.15,181.65
CA-1014,2023-11-11,2023-11-17,CG-4696,Consumer,Central,California,Office Supplies,Storage,134.42,7,0.15,5.52
CA-1015,2023-03-22,2023-03-23,CG-6172,Corporate,East,Florida,Office Supplies,Labels,146.54,1,0.19,16.69
CA-1016,2023-06-21,2023-06-27,CG-1197,Home Office,Central,Georgia,Technology,Copiers,627.75,6,0.11,112.59
CA-1017,2023-08-28,2023-08-29,CG-2986,Consumer,Central,New York,Office Supplies,Supplies,29.98,4,0.1,2.05
CA-1018,2023-05-27,2023-05-31,CG-9120,Home Office,Central,California,Furniture,Furnishings,641.43,2,0.25,32.97
CA-1019,2023-05-31,2023-06-03,CG-5548,Home Office,Central,Michigan,Office Supplies,Supplies,282.05,1,0.07,15.62
CA-1020,2023-02-06,2023-02-13,CG-2648,Consumer,West,New York,Technology,Copiers,1723.99,4,0.27,116.95
CA-1021,2023-04-14,2023-04-18,CG-3869,Corporate,South,Michigan,Office Supplies,Storage,335.12,2,0.05,72.51
CA-1022,2023-06-12,2023-06-21,CG-5496,Consumer,Central,California,Office Supplies,Storage,97.62,8,0.19,15.61
CA-1023,2023-05-08,2023-05-09,CG-6895,Home Office,South,Ohio,Technology,Machines,639.18,6,0.29,-30.45
CA-1024,2023-10-10,2023-10-12,CG-8679,Consumer,East,California,Technology,Copiers,1755.5,3,0.17,279.06
CA-1025,2023-01-17,2023-01-22,CG-1699,Corporate,South,Florida,Furniture,Chairs,1399.65,1,0.17,148.16
CA-1026,2023-04-26,2023-05-01,CG-4863,Home Office,West,Michigan,Technology,Copiers,870.84,6,0.21,54.17
CA-1027,2023-04-24,2023-04-30,CG-8343,Home Office,East,Georgia,Technology,Machines,1779.27,1,0.25,-202.15
CA-1028,2023-02-08,2023-02-15,CG-3368,Corporate,South,Texas,Furniture,Furnishings,1378.54,7,0.15,260.59
CA-1029,2023-09-21,2023-09-24,CG-2148,Home Office,South,Florida,Office Supplies,Art,224.85,6,0.1,10.81
CA-1030,2023-05-30,2023-06-05,CG-4051,Consumer,Central,Texas,Office Supplies,Labels,186.49,5,0.16,32.51
CA-1031,2023-04-18,2023-04-23,CG-5465,Home Office,Central,Ohio,Furniture,Furnishings,843.9,3,0.19,106.84
CA-1032,2023-05-04,2023-05-07,CG-2150,Consumer,Central,Georgia,Technology,Copiers,1539.28,5,0.06,106.15
CA-1033,2023-05-09,2023-05-10,CG-5070,Home Office,East,Michigan,Office Supplies,Art,360.15,8,0.28,4.0
CA-1034,2023-07-11,2023-07-16,CG-6188,Corporate,West,Georgia,Technology,Copiers,1218.87,3,0.23,-149.96
CA-1035,2023-02-16,2023-02-17,CG-5452,Corporate,East,Ohio,Furniture,Furnishings,124.03,5,0.14,1.23
CA-1036,2023-01-23,2023-01-29,CG-3839,Consumer,Central,Texas,Technology,Machines,1326.55,1,0.16,190.19
CA-1037,2023-12-02,2023-12-09,CG-6052,Corporate,West,Florida,Technology,Copiers,1235.85,2,0.17,-41.35
CA-1038,2023-06-28,2023-07-03,CG-9967,Home Office,West,California,Office Supplies,Labels,105.94,2,0.01,29.0
CA-1039,2023-04-03,2023-04-05,CG-9867,Home Office,West,Georgia,Office Supplies,Storage,180.68,8,0.22,21.78
